Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707960123.8670402,0,1,19.0852734375,420403,47.88119379646045,1009.9937771956493,27.145621269217088
1707960124.8818758,0,1,19.0985546875,422510,47.94587226544512,1009.9964637457982,27.123195555043427
1707960125.895227,0,2,19.114375,421717,47.985618090291865,1009.9980955614858,27.109574157032217
1707960126.9075298,0,2,19.125703125,421717,48.01852891379648,1009.9940644342915,27.143223570483293
1707960127.9208062,0,2,19.13078125,426518,48.06965995422378,1009.9954506334833,27.131652405164147
1707960128.934416,1,2,19.1430859375,424371,48.0647962514176,1009.9947766235084,27.137278637433646
1707960129.9488478,1,2,19.1579296875,421981,48.12341653724933,1009.9947947229936,27.137127553711736
1707960130.963479,1,2,19.1735546875,421981,48.201117786185804,1009.9908578560095,27.169990225619944
1707960131.9782574,0,0,19.1903515625,422510,48.253696004554186,1009.9818622456501,27.245080729195525
1707960132.9930322,0,0,19.2114453125,424371,48.30680243656632,1009.9782036578863,27.275620801531296
1707960134.0077407,0,0,19.229609375,424638,48.308958309033095,1009.9714590384033,27.33192176767857
1707960135.0225196,0,0,19.2477734375,423838,48.33009675963255,1009.9629648712014,27.402827582697004
1707960136.037386,0,0,19.2493359375,425980,48.330282326771396,1009.9533076617247,27.483442582940686
1707960137.0515804,0,0,19.2411328125,426518,48.35462053361723,1009.9450231637406,27.552599166105164
1707960138.06631,1,1,19.2348828125,425980,48.36020664999985,1009.9364641153207,27.62404809898898
1707960139.0801969,1,1,19.235859375,426249,48.4426154410279,1009.9328315466253,27.65437208042235
1707960140.0935419,1,1,19.2266796875,427329,48.523853523152425,1009.9264318603763,27.707795639263765
1707960141.1068523,1,1,19.2175,425980,48.60512757806101,1009.9182843719436,27.775809968253043
1707960142.1201699,1,1,19.2212109375,427600,48.64359915697201,1009.905180146005,27.885203523648784
1707960143.1334882,1,1,19.22765625,425442,48.67606584737047,1009.8930894767442,27.986136967765766
1707960144.146813,1,1,19.229609375,427600,48.720685414739336,1009.891067280522,28.003018447173798
1707960145.1601152,1,1,19.238984375,428143,48.75351762558338,1009.8907977497532,28.005268516802705
1707960146.17386,1,1,19.2532421875,424906,48.7996299960927,1009.881102370588,28.08620682839398
1707960147.1871724,1,1,19.2739453125,424371,48.85287493903414,1009.8890244618137,28.02007211277732
1707960148.2005415,1,1,19.2926953125,428415,48.89955615241373,1009.8849855744246,28.053789252032296
1707960149.2138357,1,1,19.3051953125,426518,48.939151931933154,1009.877631047448,28.115186047482158
1707960150.2271261,1,1,19.3157421875,428960,49.1246728764916,1009.9037606852861,27.897053194100955
1707960151.2404678,1,1,19.33078125,431983,48.846990682110345,1009.891851863451,27.99646867372228
1707960152.2538128,1,1,19.34875,431983,48.80471896522377,1009.891763762605,27.997204147816706
1707960153.267067,1,1,19.3743359375,430604,48.73164885031811,1009.8850046744645,28.05362980224275
1707960154.2803428,1,1,19.3911328125,429233,48.67023627675364,1009.8847289151273,28.055931879777628
1707960155.2941682,1,1,19.419453125,425174,48.59754186700494,1009.8824722795388,28.07477060855321
1707960156.3078444,1,1,19.4548046875,424104,48.62078448357441,1009.8900552561937,28.01146692929761
1707960157.3214192,1,1,19.498359375,427600,48.632333175030496,1009.8831825918012,28.068840812699705
1707960158.3346236,1,1,19.544453125,424906,48.669556999614905,1009.8734919345967,28.149740198524828
1707960159.3467903,1,1,19.6032421875,425711,48.70197280727431,1009.8672294234784,28.20202112567829
1707960160.3579583,1,1,19.6628125,425980,48.75353413086682,1009.8709821543803,28.17069240711846
1707960161.3691628,1,1,19.7184765625,423838,48.78560749510388,1009.8682820533471,28.19323350368573
1707960162.380391,1,1,19.7688671875,426518,48.77261985053926,1009.8691211674595,28.18622837087343
1707960163.3919806,1,1,19.821015625,424371,48.759845378525405,1009.8745950369623,28.14053126571197
1707960164.4040515,1,1,19.868671875,426249,48.74653263504091,1009.8709061274302,28.17132709782166
1707960165.4174154,1,1,19.917890625,424638,48.714367996413365,1009.8680315495147,28.195324772750578
1707960166.431839,1,1,19.97375,422245,48.746478954131774,1009.865588715556,28.215718187690264
1707960167.4466186,1,1,20.039765625,421454,48.85604521411484,1009.8606152561983,28.257238046859833
1707960168.4615176,1,1,20.105390625,417539,48.965654425571486,1009.8584779694316,28.275080778073303
1707960169.474906,1,1,20.1669140625,417023,49.06849478771476,1009.8565658404041,28.2910438487306
1707960170.4882247,1,1,20.233515625,416508,49.12111223841828,1009.863000604986,28.23732445324649
1707960171.501527,0,0,20.299140625,417023,49.28190052151396,1009.86430744384,28.2264145940848
1707960172.514943,0,0,20.358515625,415737,49.32099018213798,1009.8693084712401,28.18466471308081
1707960173.5282042,0,0,20.42765625,412432,49.361289492411046,1009.8746180943792,28.140338777588468
1707960174.5429194,1,2,20.493671875,412432,49.5287941853389,1009.8765129892313,28.124519812250604
1707960175.558731,1,2,20.564375,410673,49.62043399565709,1009.875599050383,28.132149555538064
1707960176.5736346,1,2,20.6383984375,407448,49.6678372349511,1009.8818805560686,28.079710409531263
1707960177.5874176,1,2,20.7141796875,405731,49.804952270997106,1009.8805226065462,28.09104679546932
1707960178.6021032,1,2,20.788984375,405731,50.00607181600763,1009.8845389149078,28.05751802849151
1707960179.6169534,1,2,20.866328125,401863,50.226999644789146,1009.8874540056541,28.03318246508922
1707960180.6310382,1,2,20.9344921875,404515,50.46635425209473,1009.8892537630146,28.01815788082266
1707960181.6452854,1,2,20.9973828125,405487,50.442112991118435,1009.8893647114336,28.01723167119806
1707960182.6601548,1,2,21.0659375,403546,50.28387730770588,1009.8882626677737,28.026431656759183
1707960183.6743526,1,2,21.139765625,402582,50.177678461310364,1009.8870521529986,28.036537180870887
1707960184.688142,1,2,21.2126171875,403788,50.1547002242958,1009.8842103326361,28.060261080352163
1707960185.702205,1,2,21.2778515625,406465,50.06030024071847,1009.8863454271336,28.042437018615008
1707960186.7160988,1,3,21.34640625,406465,49.90873403238431,1009.8886637069462,28.02308373528685
1707960187.729978,1,3,21.420234375,402342,49.77711781608641,1009.8785921175212,28.107162856577112
1707960188.7437925,1,3,21.5020703125,401146,49.69772041804215,1009.8851723052411,28.052230397316237
1707960189.758447,0,3,21.5721875,403305,49.6105053095143,1009.8882383341657,28.026634796569713
1707960190.77321,0,3,21.6184765625,406710,49.29689388010521,1009.8906905416862,28.006163500528636
1707960191.78645,0,3,21.671796875,406956,48.87003269378899,1009.8889070231745,28.02105250374883
1707960192.799654,0,3,21.7317578125,410174,48.44495123949915,1009.8892573364898,28.01812804905615
1707960193.8124702,0,3,21.7909375,410673,48.058760282916225,1009.886552479175,28.040708521392848
1707960194.8270109,0,3,21.845234375,411425,47.6601255805479,1009.8863326455831,28.042543720656255
1707960195.8419065,0,3,21.912421875,411676,47.3333130547333,1009.8862317393853,28.043386098760397
1707960196.856739,0,3,21.98625,403064,47.15284799233818,1009.8917611686279,27.997225802584488
1707960197.8715405,0,3,22.0606640625,403546,47.212209931518494,1009.891209035256,28.00183506476872
1707960198.8848987,0,3,22.1333203125,402342,47.467190078253026,1009.8930098024347,27.986802095688084
1707960199.8982065,0,3,22.1938671875,404272,47.68316225157042,1009.8977116512702,27.947550733957492
1707960200.9114735,0,3,22.2628125,403305,47.672503575409344,1009.8933720845512,27.983777734070635
1707960201.9247804,0,2,22.321796875,410924,47.6037021888659,1009.8972285141042,27.95158398986473
1707960202.9376156,0,2,22.38859375,403305,47.466312844502795,1009.8981001111041,27.944307850812592
1707960203.9508467,0,2,22.4575390625,405000,47.27874074171604,1009.9024817348985,27.907729894629643
1707960204.9636068,0,1,22.5294140625,405487,47.12955051006838,1009.9011159124988,27.919131816344805
