Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712792359.97,0,0,50.5,3.0,4.0,4.0,27.33908203125,39.71801484021117,1004.7690869758117,70.84988146711788,276267.0
1712792362.0,0,0,52.5,3.5,4.5,4.5,27.34103515625,39.73615448377625,1004.7645027710284,70.88830874073676,274952.5
1712792363.97,0,0,51.0,3.5,4.5,4.5,27.3503125,39.74314076613793,1004.7649889314214,70.88423347845246,275718.0
1712792365.99,0,0,51.0,4.0,5.0,5.0,27.35685546875,39.734889021404555,1004.7644579441809,70.88868450679209,276377.0
1712792367.97,0,0,47.0,4.0,5.0,5.0,27.360371093749997,39.72033274997591,1004.7546496334915,70.97090368568624,277373.0
1712792370.0,0,0,49.0,3.5,4.5,4.5,27.35568359375,39.716834243991606,1004.7608110265985,70.91925509996037,277818.0
1712792371.97,0,0,42.5,3.5,4.5,4.5,27.351875,39.7373348150811,1004.7640879463181,70.89178606128162,278491.0
1712792374.0,0,0,39.0,3.0,4.0,4.0,27.36056640625,39.75023449121731,1004.7653438326499,70.88125848509233,279502.0
1712792375.92,0,0,39.0,3.0,4.0,4.0,27.36056640625,39.75023449121731,1004.7653438326499,70.88125848509233,279502.0
1712792378.0,0,0,52.5,3.0,4.0,4.0,27.370625,39.73041239723512,1004.7653786480025,70.8809666449418,280516.5
1712792379.97,0,0,52.0,3.0,4.0,4.0,27.373066406249997,39.7037885687922,1004.7650512767899,70.88371086070129,280175.5
1712792382.0,0,0,48.5,3.0,4.0,4.5,27.37384765625,39.671014193157795,1004.7646006853101,70.88748800417602,282114.5
1712792383.98,0,0,58.0,3.0,4.0,4.5,27.37765625,39.63260196019975,1004.7587295829148,70.93670300815577,282114.5
1712792385.98,0,0,58.0,3.0,4.0,5.0,27.3719921875,39.63198632406842,1004.7572413192381,70.94917857049543,283850.0
1712792387.97,0,0,45.5,3.0,4.0,5.0,27.35587890625,39.64218030291137,1004.7559433593369,70.96005886960579,284313.0
1712792389.99,0,0,55.5,4.0,5.0,6.0,27.33947265625,39.628452662749716,1004.7610810307473,70.91699178180403,285487.0
1712792391.97,0,0,44.0,4.0,5.0,6.0,27.32013671875,39.61440922335352,1004.7640159327543,70.89238970059445,286193.0
1712792393.99,0,0,44.0,4.0,5.0,6.0,27.305,39.618736952507064,1004.7599901419433,70.92613624162149,285132.0
1712792395.97,0,0,43.5,4.0,5.0,6.0,27.3001171875,39.639107768008714,1004.7545920997302,70.97138597082164,285960.0
1712792398.0,0,0,55.0,5.0,6.0,7.0,27.299335937499997,39.68083195916702,1004.7524489979492,70.98935083020842,286428.0
1712792399.98,0,0,51.5,5.0,6.0,7.0,27.2989453125,39.70468591696347,1004.7604543218066,70.92224520832507,286666.5
1712792401.99,0,0,51.5,4.5,5.5,6.5,27.29630859375,39.75817809144766,1004.7647834873138,70.88595561703927,287378.0
1712792403.95,0,0,51.5,4.5,5.5,6.5,27.289375,39.86503369914477,1004.7664022318712,70.8723863935628,288217.0
1712792406.0,0,0,51.0,4.0,5.0,6.0,27.286640625,39.978396926607545,1004.7714358297118,70.83019207485307,287378.5
1712792407.97,0,0,58.5,4.0,5.0,6.0,27.28947265625,40.01461646624848,1004.7656976166465,70.87829288340609,288335.0
1712792410.0,0,0,56.0,4.0,5.0,6.0,27.3008984375,40.05777385983485,1004.7636508876997,70.89544971881992,287621.5
1712792412.0,0,0,51.0,4.0,5.0,6.0,27.31623046875,40.09238835100794,1004.7679967174079,70.85902057147108,288697.0
1712792413.97,0,0,51.0,4.0,5.0,6.0,27.32990234375,40.11185552943911,1004.7670310805364,70.86711503147723,289297.5
1712792415.97,0,0,61.0,4.0,5.0,6.0,27.3426953125,40.059360990332195,1004.761168096162,70.91626195842177,288815.5
1712792418.0,0,0,48.5,4.0,5.0,6.0,27.3508984375,39.97944209810213,1004.7573025373486,70.94866539362204,290266.0
1712792419.97,0,0,48.5,4.0,5.0,6.0,27.356171875,39.914195658120285,1004.759881049449,70.92705071903984,290145.0
1712792422.01,0,0,48.5,4.0,5.0,6.0,27.35822265625,39.87553715348584,1004.7554563771582,70.96414105470535,292226.5
1712792423.94,0,0,51.0,4.0,5.0,6.0,27.35822265625,39.87553715348584,1004.7554563771582,70.96414105470535,292226.5
1712792425.99,0,0,46.5,4.0,5.0,6.0,27.34591796875,39.84130037292271,1004.7655776216413,70.87929875266727,292228.0
1712792427.97,0,0,50.0,4.0,5.0,6.0,27.33185546875,39.82780705782652,1004.7598535084526,70.9272815882318,293463.0
1712792429.99,0,0,51.5,5.0,6.0,7.0,27.32462890625,39.80908228174815,1004.748891046181,71.01917594501697,294712.0
1712792431.95,0,0,51.5,5.0,6.0,7.0,27.32453125,39.78217068769192,1004.757376205228,70.94804787293052,293839.5
1712792434.0,0,0,48.5,5.0,6.0,7.0,27.328046875,39.7586453136676,1004.7631299132138,70.89981684679057,294961.0
1712792435.97,0,0,50.0,5.0,6.0,7.0,27.33087890625,39.72608530121447,1004.753932751161,70.97691308329561,295088.5
